,date,New Cases vs. New Recoveries - (Number of newly infected vs. number of recovered and discharged patients each day)
0,2020-02-15,
1,2020-02-16,0.0
2,2020-02-17,0.0
3,2020-02-18,0.0
4,2020-02-19,0.0
5,2020-02-20,0.0
6,2020-02-21,0.0
7,2020-02-22,0.0
8,2020-02-23,0.0
9,2020-02-24,0.0
10,2020-02-25,0.0
11,2020-02-26,0.0
12,2020-02-27,0.0
13,2020-02-28,1.0
14,2020-02-29,0.0
15,2020-03-01,0.0
16,2020-03-02,0.0
17,2020-03-03,0.0
18,2020-03-04,0.0
19,2020-03-05,1.0
20,2020-03-06,0.0
21,2020-03-07,1.0
22,2020-03-08,0.0
23,2020-03-09,1.0
24,2020-03-10,0.0
25,2020-03-11,0.0
26,2020-03-12,0.0
27,2020-03-13,0.0
28,2020-03-14,0.0
29,2020-03-15,0.0
30,2020-03-16,0.0
31,2020-03-17,7.0
32,2020-03-18,0.0
33,2020-03-19,3.0
34,2020-03-20,1.0
35,2020-03-21,21.0
36,2020-03-22,1.0
37,2020-03-23,4.0
38,2020-03-24,12.0
39,2020-03-25,5.0
40,2020-03-26,10.0
41,2020-03-27,11.0
42,2020-03-28,10.0
43,2020-03-29,43.0
44,2020-03-30,29.0
45,2020-03-31,63.0
46,2020-04-01,17.0
47,2020-04-02,97.0
48,2020-04-03,65.0
49,2020-04-04,24.0
50,2020-04-05,50.0
51,2020-04-06,108.0
52,2020-04-07,185.0
53,2020-04-08,31.0
54,2020-04-09,210.0
55,2020-04-10,172.0
56,2020-04-11,158.0
57,2020-04-12,286.0
58,2020-04-13,228.0
59,2020-04-14,340.0
60,2020-04-15,368.0
61,2020-04-16,255.0
62,2020-04-17,308.0
63,2020-04-18,330.0
64,2020-04-19,298.0
65,2020-04-20,295.0
66,2020-04-21,458.0
67,2020-04-22,708.0
68,2020-04-23,396.0
69,2020-04-24,392.0
70,2020-04-25,432.0
71,2020-04-26,296.0
72,2020-04-27,469.0
73,2020-04-28,546.0
74,2020-04-29,487.0
75,2020-04-30,328.0
76,2020-05-01,595.0
77,2020-05-02,437.0
78,2020-05-03,156.0
79,2020-05-04,315.0
80,2020-05-05,401.0
81,2020-05-06,172.0
82,2020-05-07,236.0
83,2020-05-08,356.0
84,2020-05-09,147.0
85,2020-05-10,54.0
86,2020-05-11,413.0
87,2020-05-12,240.0
88,2020-05-13,149.0
89,2020-05-14,289.0
90,2020-05-15,66.0
91,2020-05-16,268.0
92,2020-05-17,87.0
93,2020-05-18,311.0
94,2020-05-19,182.0
95,2020-05-20,69.0
96,2020-05-21,220.0
97,2020-05-22,191.0
98,2020-05-23,175.0
99,2020-05-24,63.0
100,2020-05-25,154.0
101,2020-05-26,150.0
102,2020-05-27,113.0
103,2020-05-28,109.0
104,2020-05-29,97.0
105,2020-05-30,35.0
106,2020-05-31,1.0
107,2020-06-01,66.0
108,2020-06-02,62.0
109,2020-06-03,43.0
110,2020-06-04,30.0
111,2020-06-05,13.0
112,2020-06-06,16.0
113,2020-06-07,49.0
114,2020-06-08,11.0
115,2020-06-09,57.0
116,2020-06-10,9.0
117,2020-06-11,82.0
118,2020-06-12,38.0
119,2020-06-13,69.0
120,2020-06-14,18.0
121,2020-06-15,40.0
122,2020-06-16,34.0
123,2020-06-17,10.0
124,2020-06-18,59.0
125,2020-06-19,68.0
126,2020-06-20,0.0
127,2020-06-21,108.0
128,2020-06-22,67.0
129,2020-06-23,108.0
130,2020-06-24,71.0
131,2020-06-25,67.0
132,2020-06-26,865.0
133,2020-06-27,130.0
134,2020-06-28,72.0
135,2020-06-29,144.0
136,2020-06-30,123.0
137,2020-07-01,111.0
138,2020-07-02,95.0
139,2020-07-03,122.0
140,2020-07-04,147.0
141,2020-07-05,134.0
142,2020-07-06,106.0
143,2020-07-07,171.0
144,2020-07-08,111.0
145,2020-07-09,114.0
146,2020-07-10,161.0
147,2020-07-11,201.0
148,2020-07-12,194.0
149,2020-07-13,387.0
150,2020-07-14,270.0
151,2020-07-15,324.0
152,2020-07-16,381.0
153,2020-07-17,374.0
154,2020-07-18,604.0
155,2020-07-19,327.0
156,2020-07-20,479.0
157,2020-07-21,589.0
158,2020-07-22,567.0
159,2020-07-23,734.0
160,2020-07-24,2753.0
161,2020-07-25,120.0
162,2020-07-26,108.0
163,2020-07-27,108.0
164,2020-07-28,5049.0
165,2020-07-29,564.0
166,2020-07-30,10743.0
167,2020-07-31,361.0
168,2020-08-01,1252.0
169,2020-08-02,575.0
170,2020-08-03,1894.0
171,2020-08-04,2263.0
172,2020-08-05,1561.0
173,2020-08-06,2032.0
174,2020-08-07,1886.0
175,2020-08-08,1758.0
176,2020-08-09,462.0
177,2020-08-10,1465.0
178,2020-08-11,1082.0
179,2020-08-12,2029.0
180,2020-08-13,2637.0
181,2020-08-14,2219.0
182,2020-08-15,985.0
183,2020-08-16,560.0
184,2020-08-17,1781.0
185,2020-08-18,1699.0
186,2020-08-19,1102.0
187,2020-08-20,1487.0
188,2020-08-21,3206.0
189,2020-08-22,866.0
190,2020-08-23,863.0
191,2020-08-24,2128.0
192,2020-08-25,2180.0
193,2020-08-26,2644.0
194,2020-08-27,1260.0
195,2020-08-28,3325.0
196,2020-08-29,1053.0
197,2020-08-30,692.0
198,2020-08-31,2213.0
199,2020-09-01,1205.0
200,2020-09-02,1020.0
201,2020-09-03,1411.0
202,2020-09-04,1712.0
203,2020-09-05,1124.0
204,2020-09-06,996.0
205,2020-09-07,2978.0
206,2020-09-08,1548.0
207,2020-09-09,1351.0
208,2020-09-10,1588.0
209,2020-09-11,1786.0
210,2020-09-12,1768.0
211,2020-09-13,1502.0
212,2020-09-14,3572.0
213,2020-09-15,2157.0
214,2020-09-16,2492.0
215,2020-09-17,3110.0
216,2020-09-18,3695.0
217,2020-09-19,2425.0
218,2020-09-20,1620.0
219,2020-09-21,2711.0
220,2020-09-22,3971.0
221,2020-09-23,4212.0
222,2020-09-24,3850.0
223,2020-09-25,4761.0
224,2020-09-26,3963.0
225,2020-09-27,2394.0
226,2020-09-28,5260.0
227,2020-09-29,2613.0
228,2020-09-30,6702.0
229,2020-10-01,4962.0
230,2020-10-02,5654.0
231,2020-10-03,6129.0
232,2020-10-04,4378.0
233,2020-10-05,8726.0
234,2020-10-06,7042.0
235,2020-10-07,5216.0
236,2020-10-08,4958.0
237,2020-10-09,3677.0
238,2020-10-10,477.0
239,2020-10-11,2933.0
240,2020-10-12,10023.0
241,2020-10-13,7130.0
242,2020-10-14,5900.0
243,2020-10-15,5515.0
244,2020-10-16,5277.0
245,2020-10-17,2942.0
246,2020-10-18,2648.0
247,2020-10-19,10301.0
248,2020-10-20,4111.0
249,2020-10-21,2970.0
250,2020-10-22,2862.0
251,2020-10-23,1793.0
252,2020-10-24,1076.0
253,2020-10-25,1903.0
254,2020-10-26,1745.0
255,2020-10-27,1802.0
256,2020-10-28,1387.0
257,2020-10-29,1396.0
258,2020-10-30,383.0
259,2020-10-31,1419.0
260,2020-11-01,1468.0
261,2020-11-02,696.0
262,2020-11-03,664.0
263,2020-11-04,1257.0
264,2020-11-05,787.0
265,2020-11-06,777.0
266,2020-11-07,583.0
267,2020-11-08,1090.0
268,2020-11-09,637.0
269,2020-11-10,640.0
270,2020-11-11,765.0
271,2020-11-12,0.0
272,2020-11-13,1526.0
273,2020-11-14,494.0
274,2020-11-15,755.0
275,2020-11-16,713.0
276,2020-11-17,558.0
277,2020-11-18,667.0
278,2020-11-19,612.0
279,2020-11-20,614.0
280,2020-11-21,627.0
281,2020-11-22,716.0
282,2020-11-23,714.0
283,2020-11-24,485.0
284,2020-11-25,835.0
285,2020-11-26,900.0
286,2020-11-27,525.0
287,2020-11-28,666.0
288,2020-11-29,1055.0
289,2020-11-30,682.0
290,2020-12-01,700.0
291,2020-12-02,811.0
292,2020-12-03,1384.0
293,2020-12-04,518.0
294,2020-12-05,587.0
295,2020-12-06,1619.0
296,2020-12-07,820.0
297,2020-12-08,867.0
298,2020-12-09,1034.0
299,2020-12-10,1302.0
300,2020-12-11,509.0
301,2020-12-12,1343.0
302,2020-12-13,1943.0
303,2020-12-14,1232.0
304,2020-12-15,366.0
305,2020-12-16,2432.0
306,2020-12-17,1768.0
307,2020-12-18,1388.0
308,2020-12-19,1217.0
309,2020-12-20,2517.0
310,2020-12-21,767.0
311,2020-12-22,2313.0
312,2020-12-23,689.0
313,2020-12-24,2798.0
314,2020-12-25,3194.0
315,2020-12-26,2116.0
316,2020-12-27,4029.0
317,2020-12-28,2506.0
318,2020-12-29,2599.0
319,2020-12-30,3167.0
320,2020-12-31,4038.0
321,2021-01-01,3589.0
322,2021-01-02,1990.0
323,2021-01-03,5179.0
324,2021-01-04,3736.0
325,2021-01-05,2895.0
326,2021-01-06,4657.0
327,2021-01-07,4545.0
328,2021-01-08,5840.0
329,2021-01-09,3543.0
330,2021-01-10,7611.0
331,2021-01-11,5099.0
332,2021-01-12,5155.0
333,2021-01-13,7861.0
334,2021-01-14,9286.0
335,2021-01-15,6050.0
336,2021-01-16,2571.0
337,2021-01-17,5294.0
338,2021-01-18,12349.0
339,2021-01-19,5325.0
340,2021-01-20,9492.0
341,2021-01-21,9189.0
342,2021-01-22,7242.0
343,2021-01-23,8112.0
344,2021-01-24,10536.0
345,2021-01-25,6366.0
346,2021-01-26,4840.0
347,2021-01-27,7671.0
348,2021-01-28,9374.0
349,2021-01-29,6530.0
350,2021-01-30,3636.0
351,2021-01-31,10856.0
352,2021-02-01,467.0
353,2021-02-02,9221.0
354,2021-02-03,6882.0
355,2021-02-04,407.0
356,2021-02-05,1334.0
357,2021-02-06,18322.0
358,2021-02-07,8952.0
359,2021-02-08,4987.0
360,2021-02-09,4920.0
361,2021-02-10,7956.0
362,2021-02-11,8743.0
363,2021-02-12,6590.0
364,2021-02-13,3997.0
365,2021-02-14,8440.0
366,2021-02-15,6519.0
367,2021-02-16,3430.0
368,2021-02-17,7341.0
369,2021-02-18,7162.0
370,2021-02-19,5319.0
371,2021-02-20,0.0
372,2021-02-21,10288.0
373,2021-02-22,5603.0
374,2021-02-23,2934.0
375,2021-02-24,5367.0
376,2021-02-25,4612.0
377,2021-02-26,3419.0
378,2021-02-27,1849.0
379,2021-02-28,5608.0
380,2021-03-01,2440.0
381,2021-03-02,2602.0
382,2021-03-03,2715.0
383,2021-03-04,5061.0
384,2021-03-05,4433.0
385,2021-03-06,2645.0
386,2021-03-07,5460.0
387,2021-03-08,2592.0
388,2021-03-09,3087.0
389,2021-03-10,4492.0
390,2021-03-11,4832.0
391,2021-03-12,2127.0
392,2021-03-13,203.0
393,2021-03-14,8467.0
394,2021-03-15,3546.0
395,2021-03-16,2445.0
396,2021-03-17,3383.0
397,2021-03-18,4372.0
398,2021-03-19,2416.0
399,2021-03-20,1609.0
400,2021-03-21,3330.0
401,2021-03-22,1986.0
402,2021-03-23,1216.0
403,2021-03-24,2139.0
404,2021-03-25,2006.0
405,2021-03-26,1491.0
406,2021-03-27,0.0
407,2021-03-28,1713.0
408,2021-03-29,1480.0
409,2021-03-30,0.0
410,2021-03-31,1967.0
411,2021-04-01,1038.0
412,2021-04-02,203.0
413,2021-04-03,842.0
414,2021-04-04,1039.0
415,2021-04-05,543.0
416,2021-04-06,402.0
417,2021-04-07,428.0
418,2021-04-08,588.0
419,2021-04-09,447.0
420,2021-04-10,320.0
421,2021-04-11,690.0
422,2021-04-12,289.0
423,2021-04-13,274.0
424,2021-04-14,416.0
425,2021-04-15,263.0
426,2021-04-16,298.0
427,2021-04-17,219.0
428,2021-04-18,524.0
429,2021-04-19,198.0
430,2021-04-20,216.0
431,2021-04-21,225.0
432,2021-04-22,297.0
433,2021-04-23,272.0
434,2021-04-24,115.0
435,2021-04-25,172.0
436,2021-04-26,105.0
437,2021-04-27,117.0
438,2021-04-28,166.0
439,2021-04-29,159.0
440,2021-04-30,95.0
441,2021-05-01,0.0
442,2021-05-02,253.0
443,2021-05-03,117.0
444,2021-05-04,95.0
445,2021-05-05,128.0
446,2021-05-06,113.0
447,2021-05-07,101.0
448,2021-05-08,48.0
449,2021-05-09,140.0
450,2021-05-10,0.0
451,2021-05-11,118.0
452,2021-05-12,88.0
453,2021-05-13,62.0
454,2021-05-14,62.0
455,2021-05-15,31.0
456,2021-05-16,91.0
457,2021-05-17,21.0
458,2021-05-18,51.0
459,2021-05-19,88.0
460,2021-05-20,63.0
461,2021-05-21,36.0
462,2021-05-22,20.0
463,2021-05-23,54.0
464,2021-05-24,36.0
465,2021-05-25,82.0
466,2021-05-26,43.0
467,2021-05-27,33.0
468,2021-05-28,35.0
469,2021-05-29,14.0
470,2021-05-30,45.0
471,2021-05-31,20.0
472,2021-06-01,29.0
473,2021-06-02,22.0
474,2021-06-03,154.0
475,2021-06-04,5.0
476,2021-06-05,9.0
477,2021-06-06,0.0
478,2021-06-07,49.0
479,2021-06-08,0.0
480,2021-06-09,0.0
481,2021-06-10,16.0
482,2021-06-11,10.0
483,2021-06-12,4.0
484,2021-06-13,12.0
485,2021-06-14,6.0
486,2021-06-15,23.0
487,2021-06-16,9.0
488,2021-06-17,0.0
489,2021-06-18,0.0
490,2021-06-19,0.0
491,2021-06-20,0.0
492,2021-06-21,0.0
493,2021-06-22,113.0
494,2021-06-23,17.0
495,2021-06-24,21.0
496,2021-06-25,9.0
497,2021-06-26,16.0
498,2021-06-27,42.0
499,2021-06-28,50.0
500,2021-06-29,68.0
501,2021-06-30,69.0
502,2021-07-01,134.0
503,2021-07-02,127.0
504,2021-07-03,67.0
505,2021-07-04,257.0
506,2021-07-05,144.0
507,2021-07-06,86.0
508,2021-07-07,155.0
509,2021-07-08,251.0
510,2021-07-09,311.0
511,2021-07-10,270.0
512,2021-07-11,393.0
513,2021-07-12,131.0
514,2021-07-13,463.0
515,2021-07-14,406.0
516,2021-07-15,534.0
517,2021-07-16,199.0
518,2021-07-17,550.0
519,2021-07-18,620.0
520,2021-07-19,389.0
521,2021-07-20,150.0
522,2021-07-21,861.0
523,2021-07-22,748.0
524,2021-07-23,642.0
525,2021-07-24,415.0
526,2021-07-25,1223.0
527,2021-07-26,863.0
528,2021-07-27,746.0
529,2021-07-28,1230.0
530,2021-07-29,1245.0
531,2021-07-30,1398.0
532,2021-07-31,607.0
533,2021-08-01,1869.0
534,2021-08-02,1165.0
535,2021-08-03,1145.0
536,2021-08-04,1735.0
537,2021-08-05,2252.0
538,2021-08-06,1013.0
539,2021-08-07,795.0
540,2021-08-08,4528.0
541,2021-08-09,2160.0
542,2021-08-10,2004.0
543,2021-08-11,3483.0
544,2021-08-12,3747.0
545,2021-08-13,2956.0
546,2021-08-14,1940.0
547,2021-08-15,4926.0
548,2021-08-16,3403.0
549,2021-08-17,3521.0
550,2021-08-18,4401.0
551,2021-08-19,5896.0
552,2021-08-20,5834.0
553,2021-08-21,3159.0
554,2021-08-22,6805.0
555,2021-08-23,5798.0
556,2021-08-24,2459.0
557,2021-08-25,9439.0
558,2021-08-26,9497.0
559,2021-08-27,7081.0
560,2021-08-28,4953.0
561,2021-08-29,9034.0
562,2021-08-30,7709.0
563,2021-08-31,1979.0
564,2021-09-01,13740.0
565,2021-09-02,9828.0
566,2021-09-03,9674.0
567,2021-09-04,6093.0
568,2021-09-05,12477.0
569,2021-09-06,9252.0
570,2021-09-07,5013.0
571,2021-09-08,5247.0
572,2021-09-09,12241.0
573,2021-09-10,4175.0
574,2021-09-11,13409.0
575,2021-09-12,9295.0
576,2021-09-13,8432.0
577,2021-09-14,7620.0
578,2021-09-15,10270.0
579,2021-09-16,4494.0
580,2021-09-17,5849.0
581,2021-09-18,4874.0
582,2021-09-19,14976.0
583,2021-09-20,13298.0
584,2021-09-21,4163.0
585,2021-09-22,11531.0
586,2021-09-23,9733.0
587,2021-09-24,1943.0
588,2021-09-25,8989.0
589,2021-09-26,5291.0
590,2021-09-27,7983.0
591,2021-09-28,6243.0
592,2021-09-29,9490.0
593,2021-09-30,6757.0
594,2021-10-01,4245.0
595,2021-10-02,4374.0
596,2021-10-03,7585.0
597,2021-10-04,4397.0
598,2021-10-05,4062.0
599,2021-10-06,4109.0
600,2021-10-07,4203.0
601,2021-10-08,2963.0
602,2021-10-09,3207.0
603,2021-10-10,5087.0
604,2021-10-11,2564.0
605,2021-10-12,2853.0
606,2021-10-13,3176.0
607,2021-10-14,3071.0
608,2021-10-15,2069.0
609,2021-10-16,1291.0
610,2021-10-17,2915.0
611,2021-10-18,1752.0
612,2021-10-19,1685.0
613,2021-10-20,2245.0
614,2021-10-21,2260.0
615,2021-10-22,1575.0
616,2021-10-23,1092.0
617,2021-10-24,2192.0
618,2021-10-25,1252.0
619,2021-10-26,1349.0
620,2021-10-27,1428.0
621,2021-10-28,1383.0
622,2021-10-29,411.0
623,2021-10-30,1360.0
624,2021-10-31,1333.0
625,2021-11-01,806.0
626,2021-11-02,2650.0
627,2021-11-03,1738.0
628,2021-11-04,1007.0
629,2021-11-05,734.0
630,2021-11-06,342.0
631,2021-11-07,850.0
632,2021-11-08,645.0
633,2021-11-09,147.0
634,2021-11-10,586.0
635,2021-11-11,639.0
636,2021-11-12,178.0
637,2021-11-13,960.0
638,2021-11-14,522.0
639,2021-11-15,420.0
640,2021-11-16,891.0
641,2021-11-17,538.0
642,2021-11-18,588.0
643,2021-11-19,107.0
644,2021-11-20,557.0
645,2021-11-21,413.0
646,2021-11-22,58.0
647,2021-11-23,35.0
648,2021-11-24,0.0
649,2021-11-25,0.0
650,2021-11-26,0.0
651,2021-11-27,0.0
652,2021-11-28,0.0
653,2021-11-29,2217.0
654,2021-11-30,537.0
655,2021-12-01,566.0
656,2021-12-02,697.0
657,2021-12-03,434.0
658,2021-12-04,247.0
659,2021-12-05,681.0
660,2021-12-06,572.0
661,2021-12-07,486.0
662,2021-12-08,484.0
663,2021-12-09,680.0
664,2021-12-10,589.0
665,2021-12-11,321.0
666,2021-12-12,834.0
667,2021-12-13,368.0
668,2021-12-14,472.0
669,2021-12-15,603.0
670,2021-12-16,820.0
671,2021-12-17,0.0
672,2021-12-18,996.0
673,2021-12-19,882.0
674,2021-12-20,325.0
675,2021-12-21,391.0
676,2021-12-22,650.0
677,2021-12-23,710.0
678,2021-12-24,333.0
679,2021-12-25,739.0
680,2021-12-26,288.0
681,2021-12-27,1399.0
682,2021-12-28,1151.0
683,2021-12-29,1040.0
